Age,Flight Distance,Gender,Customer Type,Type of Travel,Class
25,3225,1,1,1,Business
36,2549,1,1,0,Eco
74,208,1,1,1,Eco Plus
25,1800,1,1,1,Business
26,2501,1,1,0,Eco
33,1425,0,1,1,Eco
50,2731,1,1,1,Business
55,3664,1,1,1,Business
38,2178,1,1,0,Eco
58,2581,0,1,0,Eco Plus
31,1684,0,1,1,Eco
22,1913,1,0,1,Business
49,1748,0,1,1,Business
22,2073,0,1,0,Eco
29,1472,0,1,1,Business
49,591,0,1,1,Business
8,1697,0,0,1,Eco
34,1500,1,1,1,Eco
13,1880,1,1,0,Eco Plus
49,1835,0,1,0,Eco Plus
21,2461,0,0,1,Eco
34,3171,0,1,1,Eco Plus
64,1160,1,1,1,Business
46,2187,0,1,1,Eco
20,1653,0,0,1,Eco Plus
26,1928,1,1,1,Business
37,2154,1,0,1,Business
31,2070,0,1,0,Eco
37,252,0,1,1,Business
31,3713,0,1,1,Eco Plus
32,2090,1,1,0,Eco
34,2105,0,1,1,Business
51,2515,0,1,1,Eco
52,1429,1,1,0,Eco Plus
44,433,1,1,0,Eco
16,4565,1,1,1,Business
35,3599,1,1,1,Business
34,2628,0,1,1,Business
45,873,1,1,0,Eco
37,869,0,1,1,Business
40,532,1,1,1,Business
24,2635,0,0,1,Eco
44,2363,1,0,1,Eco
28,3887,0,1,1,Business
28,4534,0,1,1,Business
30,886,0,1,1,Eco
59,1903,0,1,1,Business
61,1587,0,1,0,Eco
45,2853,1,1,1,Business
61,691,1,1,1,Eco
54,2289,0,1,1,Business
39,3608,1,1,1,Business
26,1471,1,1,1,Business
18,1898,1,0,1,Eco
57,2068,0,1,0,Eco
26,2925,1,0,1,Business
33,2107,1,1,1,Business
44,3938,1,1,1,Business
65,2561,0,1,0,Eco
27,3235,0,1,0,Eco
22,1598,1,1,0,Eco
22,2583,0,0,1,Eco
34,1481,0,0,1,Eco
38,2059,0,0,1,Business
15,2252,1,1,0,Eco
42,2268,0,1,0,Eco
49,3463,0,1,1,Business
51,2118,1,1,1,Business
59,695,1,1,1,Eco
22,2306,1,0,1,Eco
48,843,1,1,1,Business
27,2117,1,0,1,Eco
34,2191,0,1,1,Business
36,3921,1,1,1,Business
33,4396,0,1,1,Business
35,659,1,1,0,Business
40,1651,1,1,1,Business
25,1529,1,1,1,Business
13,1079,1,1,0,Eco
36,407,1,1,1,Business
38,1479,0,0,1,Eco
62,3366,0,1,0,Eco Plus
33,2058,1,0,1,Eco
30,2497,0,1,1,Business
47,2162,0,1,0,Eco
30,2153,0,1,1,Business
28,5404,0,1,1,Business
40,2875,0,1,0,Eco
68,2216,0,1,1,Business
12,1528,0,1,0,Eco
67,225,1,1,0,Eco
14,1548,0,1,0,Eco
45,1718,0,1,0,Eco
43,874,0,1,1,Business
36,1327,0,0,1,Eco
48,1769,0,1,1,Eco
60,1521,1,1,1,Business
48,2627,0,1,1,Business
19,5211,0,0,1,Business
41,1660,0,1,1,Eco Plus
39,2593,1,1,1,Business
8,3548,0,1,1,Business
68,284,1,1,0,Eco
51,2095,1,1,1,Business
38,1857,1,1,0,Eco
32,1676,1,1,0,Eco Plus
20,3684,0,1,1,Business
21,2716,0,1,0,Eco
43,964,1,1,1,Business
19,1850,0,1,0,Eco
46,460,1,1,0,Eco
38,1551,1,1,0,Eco
47,2233,1,1,1,Business
47,4414,0,1,1,Business
24,2823,1,0,1,Business
56,342,1,1,1,Eco
47,3838,1,1,1,Business
53,476,1,1,1,Eco
55,3297,0,1,1,Business
64,1183,1,1,0,Eco
27,1853,0,1,0,Eco
42,2180,1,1,1,Eco
50,1001,1,1,1,Eco
33,3644,1,1,1,Business
67,481,1,1,0,Eco Plus
58,1752,0,1,0,Eco
51,1745,0,1,1,Business
38,1893,0,1,1,Eco
9,1734,0,1,0,Eco
25,2884,0,0,1,Eco
13,2234,0,1,0,Eco
32,4596,0,1,1,Business
55,777,1,1,0,Eco
44,1126,1,1,0,Eco
23,2204,0,0,1,Eco
26,3946,1,1,1,Business
21,2159,0,1,0,Eco
9,1994,0,1,0,Eco
39,491,0,1,1,Business
26,2716,1,0,1,Business
51,1815,1,1,1,Business
38,2119,0,0,1,Business
44,3805,0,1,1,Business
20,1551,0,0,1,Eco
33,2033,1,1,0,Eco
41,2077,1,1,1,Business
34,452,0,1,1,Business
60,3857,0,1,1,Business
39,2659,1,0,1,Business
26,2192,1,0,1,Business
26,3600,0,1,0,Eco Plus
39,928,0,1,0,Business
29,3008,0,1,1,Business
43,2211,0,1,1,Business
50,2765,0,1,1,Business
47,2968,1,1,1,Business
67,400,0,1,1,Business
28,1995,1,0,1,Eco
69,3552,0,1,0,Eco
57,443,1,1,1,Business
28,2739,0,0,1,Business
56,1782,1,1,1,Business
58,2238,0,1,1,Eco
41,675,0,1,0,Business
67,1116,0,1,0,Eco
20,2268,1,0,1,Eco
35,2438,0,1,0,Eco
58,1455,0,1,1,Eco
50,3003,1,1,0,Eco Plus
67,3249,0,1,0,Eco
31,2487,0,1,1,Eco
47,597,1,1,1,Business
35,2903,1,1,1,Eco
47,1554,0,1,1,Business
33,3507,0,1,1,Business
55,540,1,1,1,Business
54,2275,0,1,1,Business
18,1803,1,1,0,Eco
58,3172,0,1,1,Business
56,1603,0,1,1,Business
7,1833,1,1,0,Eco
23,1450,0,0,1,Eco
56,1066,1,1,1,Eco
27,3704,0,1,1,Business
30,3320,0,1,1,Business
25,1755,1,0,1,Eco
19,2346,0,0,1,Eco
39,2052,1,0,1,Eco
70,1980,0,1,0,Eco
22,2346,1,0,1,Eco
27,1813,0,1,0,Eco
44,1004,1,1,1,Business
7,1952,1,1,0,Eco
44,974,1,1,0,Eco
56,1249,1,1,1,Business
36,290,1,1,1,Business
63,3504,0,1,1,Business
24,1175,0,0,1,Business
62,1780,0,0,1,Business
42,2345,1,0,1,Eco Plus
42,1002,1,1,1,Eco
55,710,1,1,1,Eco
38,1981,0,0,1,Business
17,2186,0,0,1,Eco
28,3020,0,0,1,Business
48,4029,0,1,1,Business
26,3940,1,1,1,Business
52,3837,0,1,0,Eco
64,1844,0,1,0,Eco
58,2087,0,1,0,Eco
21,2461,1,1,1,Business
19,2122,1,1,1,Business
30,2727,0,0,1,Eco
39,3732,0,1,1,Business
23,3123,1,0,1,Business
33,2522,1,1,1,Business
23,1955,1,1,0,Eco
37,2118,0,0,1,Eco
24,3346,1,1,0,Eco
52,1404,1,1,0,Eco
15,1757,1,1,0,Eco Plus
22,4661,1,1,1,Business
44,1674,0,0,1,Business
55,307,0,1,1,Business
28,3884,1,1,0,Eco
33,5105,0,1,1,Business
51,2199,0,1,0,Eco
52,795,1,1,1,Business
68,529,1,1,0,Eco
39,2196,1,0,1,Business
12,2671,0,1,1,Business
24,1149,1,0,1,Eco Plus
49,1623,0,1,1,Business
43,3430,0,0,1,Business
16,2297,0,1,1,Business
47,1998,0,1,1,Business
32,1864,1,1,0,Eco
20,1797,1,1,0,Eco
56,3121,0,1,1,Business
42,1033,1,0,1,Eco
36,1347,0,1,1,Business
28,2918,0,1,1,Business
53,3287,0,1,1,Business
31,1869,0,1,0,Eco
38,1601,0,0,1,Business
43,2687,1,1,1,Business
27,4099,0,1,1,Eco
47,2049,1,1,1,Business
24,1523,0,0,1,Eco
48,3004,0,1,1,Business
63,1277,0,1,0,Eco
58,204,1,1,1,Eco
57,463,0,1,1,Business
27,4930,1,1,1,Business
31,3640,1,1,1,Business
41,3185,1,1,1,Business
52,904,1,1,1,Business
68,1556,0,1,1,Eco
68,2282,0,1,0,Eco
61,1342,0,1,0,Eco
43,2979,1,1,1,Business
12,1824,1,1,0,Business
24,5549,1,1,1,Business
43,1166,1,1,1,Business
49,1241,0,0,1,Business
50,1552,1,1,1,Business
17,1574,0,1,0,Eco
21,2417,0,0,1,Eco
66,2489,0,1,0,Eco
21,2515,1,1,0,Eco
41,1643,0,1,1,Business
38,1524,1,0,1,Eco Plus
39,1905,1,0,1,Eco
26,1741,0,0,1,Eco
23,1921,1,0,1,Eco
50,433,1,1,0,Eco
40,3080,0,1,1,Business
54,1826,1,1,1,Business
55,1517,0,1,1,Eco
57,333,1,1,1,Business
25,5189,1,1,1,Business
43,2112,1,1,1,Business
49,3993,1,1,1,Business
20,2926,0,1,1,Business
36,3678,1,1,1,Business
49,2467,1,1,1,Business
52,2117,1,1,1,Business
68,2895,0,1,0,Eco
34,2500,0,1,1,Business
39,3251,0,1,1,Business
34,3678,1,1,1,Business
31,3702,1,1,1,Business
60,778,0,1,1,Business
25,1929,1,1,0,Eco
18,925,1,1,0,Eco
33,484,1,1,1,Business
51,2218,1,1,0,Eco
36,1330,1,1,1,Eco
40,3461,1,1,1,Business
24,2723,1,1,1,Business
15,2358,0,1,0,Eco
8,2200,0,0,1,Eco
39,2308,0,1,0,Eco
53,2089,0,1,1,Eco
23,3882,0,1,1,Business
45,2107,1,1,0,Business
29,2043,1,0,1,Business
52,346,1,1,1,Eco
22,2305,1,1,0,Eco
43,3970,0,1,1,Business
39,2159,1,1,1,Eco Plus
36,1639,1,1,1,Business
70,1417,1,1,0,Eco
62,832,1,1,0,Eco
34,1123,1,1,0,Eco
44,929,1,1,0,Eco
17,1899,0,0,1,Eco
11,1941,0,1,0,Eco
13,2921,1,0,0,Eco
43,497,1,1,1,Business
47,382,1,1,1,Business
9,1544,0,1,0,Eco
47,3871,0,1,1,Business
13,1328,1,1,0,Eco
55,1135,0,1,1,Business
58,2449,0,1,1,Eco
52,2289,0,1,1,Business
39,263,0,1,1,Business
43,1392,0,1,1,Eco Plus
38,2545,1,0,1,Eco
35,1767,1,1,0,Eco
21,1607,0,1,0,Eco
26,2723,1,0,1,Business
26,1541,0,0,1,Business
23,1548,0,0,1,Eco
54,3198,1,1,1,Business
48,1900,1,1,1,Business
24,1722,1,0,1,Business
20,1812,0,1,1,Eco Plus
57,86,1,1,1,Business
23,1660,1,0,1,Business
28,2247,1,1,0,Eco
23,2398,0,0,1,Eco
30,2133,1,0,1,Eco
55,1830,1,1,1,Business
63,798,1,1,0,Eco
39,491,1,1,1,Business
48,460,1,1,1,Business
62,2973,0,1,0,Eco
37,657,1,1,1,Business
32,3803,0,1,1,Business
22,1769,1,0,1,Business
50,3635,0,1,1,Business
50,268,1,1,1,Business
21,961,0,0,1,Eco
26,3311,0,1,1,Eco
35,1366,0,1,0,Eco
60,3132,1,1,1,Business
23,2893,0,1,0,Eco Plus
52,2981,0,1,0,Eco
28,2157,0,1,0,Eco
49,945,1,1,1,Business
12,2929,1,1,0,Eco
40,712,1,1,1,Business
37,1064,0,1,0,Eco
31,3820,0,1,1,Business
56,2088,1,1,1,Eco
54,415,1,1,0,Eco Plus
58,1603,1,1,1,Business
60,576,0,1,1,Business
42,3749,1,1,1,Business
28,1917,0,1,1,Business
39,67,0,1,1,Business
52,310,1,1,0,Eco
17,2108,0,1,0,Eco
26,4295,1,1,1,Business
55,553,1,1,1,Eco
70,3107,0,1,1,Business
25,2187,1,0,1,Eco
58,2418,1,1,1,Eco
51,2100,0,1,0,Eco
52,1812,1,0,1,Eco
10,1363,0,1,0,Eco Plus
32,1785,1,1,0,Eco
54,3833,0,0,1,Business
55,2294,0,1,1,Business
11,1926,0,1,0,Eco
48,1064,1,0,1,Eco
40,3452,1,1,1,Business
45,984,0,1,1,Business
70,2084,0,1,0,Eco
17,2846,1,1,1,Eco
56,1088,1,1,0,Eco Plus
40,2224,0,0,1,Eco
28,4450,1,1,1,Business
70,3219,0,1,0,Eco
45,2723,1,1,1,Business
54,714,0,1,1,Business
43,2047,0,1,1,Eco Plus
46,80,0,1,1,Business
16,1960,0,1,1,Business
44,3773,0,1,1,Business
62,2053,0,1,0,Eco
22,1813,1,0,1,Eco
38,3822,1,1,1,Eco
20,1902,0,0,1,Eco
11,1361,0,1,0,Eco
48,2893,0,1,1,Business
38,2159,1,0,1,Eco
22,2680,0,1,0,Eco
29,2728,1,1,1,Business
70,2397,0,1,0,Eco
45,987,1,1,1,Business
53,514,1,1,0,Eco
43,2198,0,1,1,Business
32,4644,1,1,1,Business
51,2603,1,1,0,Eco
12,2356,0,1,1,Business
55,1579,0,1,1,Business
23,4767,0,1,1,Business
51,1655,0,1,1,Eco
13,2716,1,0,1,Eco
24,2821,0,0,1,Eco
67,1700,0,1,0,Eco
41,2679,1,1,1,Eco
20,2598,0,1,0,Eco
32,1616,0,0,1,Business
35,3996,1,1,0,Eco
58,3798,1,1,1,Business
34,647,1,1,1,Business
68,387,1,1,0,Eco
36,2095,0,1,0,Eco
39,2176,0,1,0,Eco
45,1324,0,1,1,Business
54,509,0,1,0,Business
18,1109,0,1,1,Eco
22,2952,1,0,1,Eco
20,1472,0,0,1,Eco
21,840,1,0,1,Eco
13,1614,0,1,0,Eco Plus
31,1614,0,1,1,Eco Plus
39,302,1,1,1,Business
8,3643,0,0,1,Eco
35,2922,1,1,0,Eco
58,1428,1,0,1,Business
23,1523,1,1,1,Business
38,2496,1,1,1,Business
64,2239,1,1,0,Eco
11,1533,0,1,0,Eco Plus
26,2264,0,0,1,Business
26,2899,1,0,1,Eco
22,4652,1,1,1,Business
46,255,0,1,1,Business
51,351,1,1,1,Business
22,2664,1,0,1,Eco
72,1060,1,1,1,Eco
39,2642,0,1,1,Business
48,2404,1,1,1,Business
33,1188,1,1,1,Eco
40,2633,1,1,0,Eco
46,2706,1,1,0,Eco
10,1423,1,1,0,Business
36,2200,1,0,1,Business
39,1549,0,0,1,Eco
35,2102,0,0,1,Eco
50,1434,0,1,1,Business
39,2895,0,1,1,Eco
38,1572,1,1,1,Business
34,2729,0,1,1,Business
69,1827,0,1,0,Eco
64,3893,0,1,0,Eco
61,3871,0,1,0,Eco
40,2524,0,1,1,Eco
65,3989,0,1,1,Business
53,211,1,1,1,Business
52,4230,1,1,1,Business
42,3985,0,1,0,Eco
40,702,1,1,0,Business
22,1999,1,0,1,Eco
41,3849,1,1,0,Eco
23,2282,0,1,0,Eco
52,916,1,1,1,Business
25,1672,0,0,1,Eco
47,585,1,1,1,Business
57,2307,1,1,1,Business
20,1615,0,0,1,Business
63,283,1,1,0,Business
39,301,0,1,1,Business
34,2413,1,1,1,Business
15,1528,0,1,1,Eco Plus
48,3585,1,1,1,Business
25,2144,1,0,1,Business
28,2154,0,1,0,Eco
37,1654,0,1,0,Eco
25,2505,1,1,1,Business
36,1018,1,1,1,Business
20,2531,1,0,1,Business
27,2919,0,0,1,Eco
49,2340,0,1,0,Eco
85,2837,1,0,1,Business
33,2506,1,0,1,Eco
32,5574,0,1,1,Business
42,3724,1,1,1,Business
28,1948,1,1,1,Eco
36,1792,1,1,1,Eco Plus
60,3168,0,1,0,Eco
32,1956,1,0,1,Business
31,3958,0,1,1,Business
25,4126,1,1,1,Business
50,3636,1,1,1,Business
37,1944,0,0,1,Business
48,1641,0,1,1,Eco
23,2111,0,0,1,Business
29,2360,0,1,1,Business
25,2391,1,0,1,Eco
44,418,1,1,1,Eco
30,4133,1,0,1,Business
33,2339,1,1,1,Business
41,2864,1,0,1,Eco
62,2289,1,1,0,Eco
37,3602,1,1,1,Business
33,1615,0,1,1,Business
11,1371,1,1,0,Eco
60,452,0,1,1,Business
54,3411,0,1,1,Business
23,1658,0,0,1,Eco
17,2354,0,1,0,Eco
33,1662,1,0,1,Business
51,1449,1,1,1,Business
61,326,0,1,1,Business
53,699,1,1,1,Business
59,1150,0,1,0,Eco
23,3821,1,0,1,Business
36,2432,0,1,1,Business
50,3146,0,1,1,Business
51,2137,0,1,1,Business
54,120,1,1,1,Eco
26,2148,1,1,0,Eco
39,1546,1,0,1,Business
40,2150,1,1,1,Eco
25,2574,0,0,1,Eco
37,2432,0,1,0,Eco
30,2358,1,1,1,Eco
44,2638,0,0,1,Business
25,2642,1,1,0,Eco
30,1548,1,1,0,Eco
48,1576,0,1,1,Business
45,595,1,1,0,Eco
36,1428,0,1,1,Eco
33,3109,1,1,1,Business
49,2672,0,1,1,Business
39,423,1,1,1,Business
77,467,0,1,1,Business
30,2640,1,1,1,Business
61,1759,1,1,1,Business
11,1134,0,1,0,Eco
41,1351,0,1,1,Eco
34,2179,0,1,0,Eco
54,1053,1,1,1,Business
60,3936,0,1,1,Business
29,2944,0,1,1,Business
48,1601,0,1,1,Business
38,2639,0,1,1,Eco
36,3774,1,1,1,Business
22,2269,0,1,1,Business
53,1641,1,1,1,Business
15,2553,0,1,1,Business
43,335,1,1,0,Eco
8,2780,0,1,0,Eco
50,2011,0,1,1,Business
7,1998,1,1,0,Eco
39,1402,1,0,1,Business
9,3930,0,1,0,Eco
47,1725,0,1,1,Eco
70,467,0,1,1,Business
60,542,1,1,1,Eco
30,2432,0,1,0,Eco
59,2891,0,1,0,Eco
30,1356,1,1,0,Eco
57,3172,0,1,1,Eco
16,3396,1,0,1,Eco
17,2913,1,1,0,Eco
48,1799,1,0,1,Business
60,3420,0,1,0,Eco
43,1558,1,1,1,Business
52,1258,0,1,0,Eco
46,2264,0,1,0,Eco
30,5054,1,1,1,Business
32,1869,0,0,1,Business
8,1251,0,1,0,Eco
59,3688,0,1,1,Business
48,440,1,1,0,Eco
63,2148,0,1,0,Eco
35,2624,0,1,1,Business
14,2707,1,0,1,Eco
28,2609,1,0,1,Business
28,3211,0,1,1,Business
33,3155,1,1,1,Business
69,1133,1,1,0,Eco
35,1112,0,1,1,Business
52,3877,0,1,1,Business
20,1526,0,0,1,Eco
30,1140,0,1,1,Business
24,2662,0,0,1,Business
58,419,1,1,0,Eco
49,1958,0,1,1,Business
38,1997,1,0,1,Eco
43,1852,0,1,1,Business
38,3886,1,1,1,Eco
38,1339,0,1,0,Eco
50,231,1,1,0,Eco
31,3448,0,1,1,Business
28,2219,0,1,1,Eco Plus
28,1826,1,0,1,Eco
29,2432,1,1,1,Business
19,2675,1,1,0,Business
61,65,1,1,0,Eco
37,2074,0,0,1,Business
40,2342,1,1,1,Eco
27,3939,1,0,1,Eco
26,1700,0,0,1,Eco
25,1846,0,1,1,Business
49,2818,0,1,1,Eco
12,1504,1,1,0,Eco Plus
35,1663,0,1,1,Business
63,2118,0,1,0,Eco
44,3976,0,1,1,Business
68,1418,0,1,0,Eco Plus
53,2096,1,1,1,Business
9,2303,1,0,1,Eco
31,1820,0,1,1,Business
39,1396,1,0,1,Business
55,1743,1,1,1,Business
42,1067,1,1,1,Eco
13,2157,1,1,0,Eco
54,2581,0,1,1,Eco
48,1859,0,1,1,Eco Plus
44,3960,1,1,1,Business
69,1126,1,1,0,Eco
15,2193,1,1,0,Eco
67,512,1,1,0,Eco
40,399,0,1,1,Business
41,2271,1,1,0,Eco Plus
55,571,1,1,0,Eco
25,2013,0,0,1,Eco
22,1723,1,1,1,Eco
66,1202,1,0,1,Eco
22,2100,1,0,1,Eco
34,302,0,1,1,Business
27,2162,0,0,1,Business
7,3100,0,1,0,Business
57,2115,0,1,1,Business
12,3578,1,1,1,Business
37,1190,0,0,1,Business
46,1571,0,1,1,Eco Plus
42,2785,0,0,1,Eco
8,2696,0,1,0,Eco
51,1307,0,1,0,Eco
18,2420,1,1,1,Business
33,849,1,1,1,Business
52,731,1,1,0,Eco
59,945,0,1,0,Business
26,3224,0,1,1,Business
35,475,1,1,1,Business
35,2583,0,0,1,Business
24,1921,0,1,1,Business
50,3957,0,1,1,Eco
24,1495,1,0,1,Eco
60,347,1,1,1,Eco
51,2227,1,1,1,Business
18,1424,1,1,0,Eco
27,2216,0,1,0,Eco
27,2377,0,0,1,Business
40,3371,0,1,1,Business
57,210,1,1,0,Eco
7,2696,1,1,0,Eco
12,1566,0,1,0,Eco Plus
49,1460,0,1,0,Eco
39,2461,0,1,0,Eco
32,2293,1,1,1,Business
53,100,0,1,1,Business
56,1956,0,1,1,Eco Plus
48,2051,0,1,1,Business
65,383,1,1,1,Eco Plus
46,1834,0,1,0,Eco
44,3044,1,1,1,Business
57,1861,1,1,1,Business
43,3522,1,1,1,Business
13,2157,1,1,0,Eco
59,1787,1,1,1,Business
29,1175,1,1,0,Eco
36,1495,1,1,0,Eco
41,698,1,1,1,Eco Plus
9,4028,1,1,0,Eco
8,3014,0,1,0,Eco
45,3066,0,1,1,Eco
41,1181,0,1,1,Eco Plus
57,1433,1,1,1,Eco
36,3588,0,1,0,Eco
15,2037,1,1,0,Eco
35,1774,0,1,0,Eco
42,3419,0,1,1,Business
7,1738,0,1,0,Eco Plus
37,2167,0,1,1,Eco Plus
60,2557,1,0,1,Eco
50,2287,1,1,0,Eco
39,1050,1,0,1,Eco
28,4378,1,1,1,Business
51,702,1,1,0,Eco
37,3309,0,1,1,Business
61,2341,1,1,1,Business
26,1999,1,0,1,Business
25,1730,1,0,1,Business
47,2393,0,1,1,Eco
51,2845,0,1,1,Business
27,3430,1,0,1,Business
32,2009,1,0,1,Business
53,3164,0,1,1,Business
48,1746,1,1,1,Business
59,2118,0,1,0,Eco
18,2436,0,1,1,Eco
23,2757,1,0,1,Eco
55,1748,0,1,1,Eco
23,2483,0,0,1,Business
42,649,1,1,1,Business
23,3774,0,1,1,Business
21,2877,1,0,1,Eco
45,523,1,1,1,Eco
39,1814,0,1,1,Eco
51,1257,1,1,1,Eco
63,2351,0,1,0,Eco
18,2035,0,1,0,Eco
30,1768,0,1,1,Eco
45,2734,0,1,1,Eco
45,65,1,1,1,Eco
40,3541,1,1,1,Business
20,1834,1,0,1,Eco
23,2358,0,0,1,Business
46,636,1,1,1,Eco
43,434,1,1,0,Eco
44,1758,0,0,1,Eco
38,1606,1,0,1,Eco
64,659,1,1,0,Eco
21,1672,0,1,0,Eco
14,1118,0,1,0,Eco
50,339,1,1,1,Business
68,1179,0,1,0,Eco
35,2152,0,1,0,Eco
23,1567,0,0,1,Eco
8,2223,1,1,0,Eco Plus
65,1418,0,1,1,Business
45,700,1,1,0,Eco
25,1580,0,1,1,Eco
59,1061,0,0,1,Business
14,3909,1,1,0,Eco
54,1707,1,1,1,Business
59,3617,1,1,1,Business
69,608,1,1,0,Eco Plus
12,1963,0,1,0,Eco
62,1908,0,1,0,Eco
57,1430,1,1,0,Eco
26,1820,1,0,1,Eco
32,1604,0,1,0,Eco
54,3559,1,1,1,Business
52,1454,0,1,0,Eco
38,1633,1,1,1,Eco
31,1877,1,1,0,Eco
37,1969,1,0,1,Eco Plus
14,1238,0,1,0,Eco
21,2705,1,1,1,Business
43,1604,1,1,1,Business
28,1565,1,1,0,Eco
57,282,0,1,1,Business
31,2583,1,1,0,Eco
59,2160,1,1,1,Business
36,1319,0,1,1,Business
24,1791,1,0,1,Eco
53,1194,0,1,0,Eco
22,3171,1,1,1,Eco Plus
60,333,1,1,0,Eco
20,1505,1,0,1,Business
57,586,1,1,1,Business
59,1963,1,1,1,Business
47,2108,0,1,1,Business
31,2213,1,1,1,Business
23,2381,1,1,0,Eco
33,1250,0,1,1,Eco Plus
52,238,1,1,1,Eco
34,1670,1,0,1,Business
70,1275,0,1,0,Eco
